Bin Range,Edge Count
0.1752 – 0.2165,2
0.2165 – 0.2577,2
0.2577 – 0.2989,2
0.2989 – 0.3402,1
0.3402 – 0.3814,2
0.3814 – 0.4227,4
0.4227 – 0.4639,7
0.4639 – 0.5051,4
0.5051 – 0.5464,4
0.5464 – 0.5876,5
0.5876 – 0.6288,10
0.6288 – 0.6701,6
0.6701 – 0.7113,5
0.7113 – 0.7526,5
0.7526 – 0.7938,4
0.7938 – 0.8350,2
0.8350 – 0.8763,6
0.8763 – 0.9175,3
0.9175 – 0.9588,1
0.9588 – 1.0000,5
