Bin Range,Edge Count
0.2265 – 0.2652,1
0.2652 – 0.3039,2
0.3039 – 0.3426,1
0.3426 – 0.3812,2
0.3812 – 0.4199,2
0.4199 – 0.4586,3
0.4586 – 0.4973,0
0.4973 – 0.5359,3
0.5359 – 0.5746,2
0.5746 – 0.6133,2
0.6133 – 0.6519,4
0.6519 – 0.6906,2
0.6906 – 0.7293,5
0.7293 – 0.7680,3
0.7680 – 0.8066,2
0.8066 – 0.8453,4
0.8453 – 0.8840,0
0.8840 – 0.9227,0
0.9227 – 0.9613,0
0.9613 – 1.0000,2
