Node1,Node2,Weight
0,1,0.512
0,29,0.6261
0,28,0.8883
0,7,0.3128
1,3,0.8326
1,22,0.602
1,8,0.4037
2,3,0.6924
2,4,0.6398
3,4,0.48
3,17,0.614
4,5,0.5229
4,6,0.6227
4,24,0.7324
4,29,0.9172
5,6,0.3524
5,7,1.0
6,7,0.2096
6,22,0.5696
7,8,0.7177
7,9,0.6562
8,11,0.4755
8,25,0.5584
8,20,0.5014
8,21,0.4821
9,10,0.7699
9,11,0.6714
10,11,0.4614
10,12,0.7799
11,13,0.6615
11,15,0.7626
11,27,0.7259
12,13,0.4342
12,20,0.488
13,14,0.7495
13,15,0.7221
14,15,0.5958
14,16,0.6235
15,16,0.8555
16,17,0.4817
16,18,0.7094
17,18,0.5596
17,19,0.5565
18,20,0.8198
18,22,0.7651
19,20,0.7627
19,21,0.8611
20,21,0.6042
21,22,0.7364
22,24,0.5379
22,25,0.6648
22,23,0.574
23,24,0.6194
24,26,0.719
25,26,0.4364
25,27,1.0
25,28,0.3988
26,27,0.3572
26,28,0.8316
27,28,0.7583
