Node1,Node2,Weight
0,1,0.7248
0,29,0.7257
0,28,0.5976
0,7,0.4205
1,3,0.6152
1,22,0.4646
1,8,0.795
2,3,0.5706
2,4,0.4349
3,4,0.5357
3,17,0.6826
4,5,0.4873
4,6,0.4356
4,24,0.6487
4,29,0.649
5,6,0.4986
5,7,0.5058
6,7,0.6464
6,22,0.3104
7,8,0.3185
7,9,0.4563
8,11,0.5573
8,25,0.6622
8,20,0.8951
8,21,0.7715
9,10,0.568
9,11,0.5962
10,11,0.3995
10,12,0.5963
10,14,0.5965
11,13,0.6645
11,15,0.4346
11,27,0.7039
12,13,0.9065
12,20,0.5782
13,14,0.6803
13,15,0.738
14,15,0.5198
14,16,0.6448
15,16,0.6025
16,17,0.6195
16,18,0.4454
17,18,0.6049
17,19,0.6996
18,20,0.8902
18,22,0.7919
19,20,1.0
19,21,0.4465
20,21,0.7745
21,22,0.6367
22,24,1.0
22,25,0.4383
22,23,0.4321
23,24,0.4801
24,26,0.1752
25,26,0.4948
25,27,0.4482
25,28,0.6301
26,27,0.6684
26,28,0.9752
27,28,0.7901
