Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,12,0.6924
1,29,0.6398
1,26,0.48
1,17,0.614
1,28,0.5229
2,11,0.6227
2,29,0.7324
2,15,0.9172
3,4,0.3524
3,5,1.0
4,5,0.2096
4,6,0.5696
4,27,0.7177
5,6,0.6562
5,7,0.4755
5,11,0.5584
6,7,0.5014
6,23,0.4821
7,8,0.7699
7,9,0.6714
8,9,0.4614
8,26,0.7799
9,10,0.6615
9,29,0.7626
10,11,0.7259
10,23,0.4342
11,13,0.488
12,25,0.7495
12,20,0.7221
13,14,0.5958
13,15,0.6235
14,15,0.8555
14,16,0.4817
15,16,0.7094
16,18,0.5596
16,20,0.5565
17,18,0.8198
17,19,0.7651
17,21,0.7627
17,23,0.8611
18,19,0.6042
18,20,0.7364
19,20,0.5379
19,21,0.6648
20,26,0.574
21,28,0.6194
22,23,0.719
22,24,0.4364
23,24,1.0
24,25,0.3988
24,26,0.3572
25,26,0.8316
25,27,0.7583
25,28,0.7248
26,27,0.7257
26,28,0.5976
27,28,0.4205
