Node1,Node2,Weight
0,29,0.6152
0,2,0.4646
0,8,0.795
0,24,0.5706
0,27,0.4349
0,26,0.5357
0,25,0.6826
1,3,0.4873
1,29,0.4356
1,23,0.6487
2,3,0.649
2,4,0.4986
2,15,0.5058
2,14,0.6464
2,23,0.3104
3,4,0.3185
3,5,0.4563
4,5,0.5573
4,19,0.6622
5,6,0.8951
5,7,0.7715
5,23,0.568
6,9,0.5962
6,27,0.3995
6,18,0.5963
7,8,0.5423
7,9,0.6645
7,11,0.4346
7,25,0.7039
7,12,0.9065
8,9,0.5782
8,10,0.6803
8,19,0.738
8,24,0.5198
9,10,0.6448
9,11,0.6025
10,12,0.6195
10,23,0.4454
10,22,0.6049
11,12,0.6996
12,13,0.8902
12,14,0.7919
12,27,1.0
12,18,0.4465
13,14,0.7745
13,15,0.6367
14,15,1.0
14,16,0.4383
14,25,0.4321
15,17,0.4801
16,24,0.1752
16,17,0.4948
17,26,0.4482
17,20,0.6301
18,25,0.6684
18,26,0.9752
19,23,0.7901
20,21,0.4846
20,23,0.4203
20,26,0.6984
20,28,0.336
21,22,0.9663
21,28,0.8359
22,23,0.5062
23,24,0.2574
23,26,0.8708
25,26,0.5771
26,27,0.8476
28,29,0.2811
