Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,28,0.4037
0,10,0.6924
0,22,0.6398
1,2,0.48
1,3,0.614
1,4,0.5229
1,27,0.6227
2,3,0.7324
2,4,0.9172
3,4,0.3524
3,5,1.0
4,18,0.2096
5,6,0.5696
5,7,0.7177
5,15,0.6562
5,20,0.4755
6,8,0.5584
6,22,0.5014
7,9,0.4821
7,21,0.7699
8,9,0.6714
8,20,0.4614
9,11,0.7799
9,21,0.6615
10,12,0.7626
11,12,0.7259
11,13,0.4342
12,13,0.488
12,14,0.7495
13,14,0.7221
13,29,0.5958
14,15,0.6235
14,16,0.8555
15,16,0.4817
15,25,0.7094
16,17,0.5596
16,18,0.5565
16,21,0.8198
17,18,0.7651
17,19,0.7627
18,19,0.8611
18,20,0.6042
18,21,0.7364
19,20,0.5379
19,27,0.6648
20,21,0.574
21,23,0.6194
22,23,0.719
22,24,0.4364
23,24,1.0
23,29,0.3988
24,25,0.3572
24,26,0.8316
25,27,0.7583
26,27,0.7248
26,28,0.7257
27,28,0.5976
28,29,0.4205
