Node1,Node2,Weight
0,1,0.4569
0,19,0.7359
0,2,0.4539
0,18,0.6433
0,13,0.6091
1,2,0.4697
1,3,1.0
1,19,0.7268
2,3,0.195
2,10,0.6373
3,4,0.4676
3,5,0.7705
4,5,0.4415
4,6,0.5771
4,9,0.701
5,6,0.7732
5,7,0.3599
6,7,0.5331
6,8,0.505
7,8,0.4693
7,15,0.9531
7,9,0.681
8,9,0.3478
8,10,0.7836
8,13,1.0
10,11,0.8065
10,12,0.2961
11,12,0.5032
11,14,0.8534
12,13,0.4585
12,14,0.6888
13,14,0.7549
14,16,0.4146
15,16,0.5881
15,17,0.0
16,17,0.3951
16,18,0.5495
17,18,0.3504
17,19,0.9265
18,19,0.314
