Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,28,0.6924
0,16,0.6398
1,2,0.48
1,15,0.614
1,11,0.5229
1,3,0.6227
2,3,0.7324
2,4,0.9172
3,4,0.3524
4,6,1.0
4,13,0.2096
4,20,0.5696
4,21,0.7177
5,6,0.6562
5,16,0.4755
5,28,0.5584
6,7,0.5014
6,8,0.4821
6,29,0.7699
7,9,0.6714
7,11,0.4614
7,24,0.7799
8,9,0.6615
8,10,0.7626
9,11,0.7259
9,14,0.4342
10,11,0.488
10,12,0.7495
11,12,0.7221
11,13,0.5958
12,14,0.6235
12,25,0.8555
13,14,0.4817
13,19,0.7094
13,29,0.5596
14,15,0.5565
14,27,0.8198
15,17,0.7651
15,26,0.7627
17,18,0.8611
17,19,0.6042
18,19,0.7364
18,20,0.5379
18,22,0.6648
19,21,0.574
20,24,0.6194
20,27,0.719
21,27,0.4364
22,24,1.0
23,24,0.3988
23,25,0.3572
24,26,0.8316
24,25,0.7583
25,26,0.7248
26,27,0.7257
27,28,0.5976
28,29,0.4205
