Bin Range,Edge Count
0.1396 – 0.1826,1
0.1826 – 0.2257,1
0.2257 – 0.2687,1
0.2687 – 0.3117,2
0.3117 – 0.3547,5
0.3547 – 0.3977,5
0.3977 – 0.4408,8
0.4408 – 0.4838,5
0.4838 – 0.5268,7
0.5268 – 0.5698,6
0.5698 – 0.6128,11
0.6128 – 0.6558,5
0.6558 – 0.6989,3
0.6989 – 0.7419,6
0.7419 – 0.7849,3
0.7849 – 0.8279,2
0.8279 – 0.8709,0
0.8709 – 0.9140,5
0.9140 – 0.9570,2
0.9570 – 1.0000,4
