Bin Range,Edge Count
0.1752 – 0.2165,1
0.2165 – 0.2577,1
0.2577 – 0.2989,0
0.2989 – 0.3402,3
0.3402 – 0.3814,0
0.3814 – 0.4227,2
0.4227 – 0.4639,8
0.4639 – 0.5051,5
0.5051 – 0.5464,4
0.5464 – 0.5876,4
0.5876 – 0.6288,5
0.6288 – 0.6701,8
0.6701 – 0.7113,5
0.7113 – 0.7526,2
0.7526 – 0.7938,4
0.7938 – 0.8350,0
0.8350 – 0.8763,2
0.8763 – 0.9175,2
0.9175 – 0.9588,0
0.9588 – 1.0000,5
