Node1,Node2,Weight
0,1,0.6152
0,29,0.4646
0,2,0.795
0,12,0.5706
0,19,0.4349
1,2,0.5357
1,3,0.6826
1,29,0.4873
1,10,0.4356
1,23,0.6487
2,3,0.649
2,12,0.4986
3,4,0.5058
3,5,0.6464
3,15,0.3104
4,6,0.3185
4,21,0.4563
4,19,0.5573
4,12,0.6622
5,6,0.8951
5,19,0.7715
6,7,0.568
6,8,0.5962
7,8,0.3995
7,23,0.5963
8,9,0.5423
8,25,0.6645
8,28,0.4346
9,10,0.7039
9,11,0.9065
10,21,0.5782
10,28,0.6803
11,13,0.738
11,17,0.5198
13,14,0.6448
13,17,0.6025
14,15,0.6195
14,16,0.4454
15,16,0.6049
15,27,0.6996
15,25,0.8902
16,17,0.7919
16,23,1.0
17,18,0.4465
17,19,0.7745
18,19,0.6367
18,20,1.0
20,21,0.4383
20,22,0.4321
21,22,0.4801
21,23,0.1752
21,24,0.4948
22,24,0.4482
22,29,0.6301
23,25,0.6684
24,26,0.9752
25,27,0.7901
25,28,0.4846
26,27,0.4203
26,28,0.6984
27,28,0.336
27,29,0.9663
28,29,0.8359
