Node1,Node2,Weight
0,1,0.512
0,14,0.6261
0,6,0.8883
1,2,0.3128
1,3,0.8326
1,29,0.602
2,3,0.4037
2,12,0.6924
3,4,0.6398
3,5,0.48
3,7,0.614
4,5,0.5229
4,6,0.6227
5,7,0.7324
5,13,0.9172
6,7,0.3524
6,8,1.0
7,8,0.2096
8,15,0.5696
8,24,0.7177
9,11,0.6562
9,22,0.4755
10,12,0.5584
10,16,0.5014
11,12,0.4821
11,18,0.7699
11,16,0.6714
12,13,0.4614
12,14,0.7799
13,14,0.6615
13,15,0.7626
13,25,0.7259
14,16,0.4342
14,23,0.488
15,21,0.7495
15,20,0.7221
15,27,0.5958
16,17,0.6235
16,19,0.8555
17,18,0.4817
17,19,0.7094
17,29,0.5596
18,19,0.5565
18,20,0.8198
19,21,0.7651
20,21,0.7627
20,22,0.8611
21,23,0.6042
21,28,0.7364
22,23,0.5379
22,24,0.6648
23,25,0.574
24,26,0.6194
24,29,0.719
24,28,0.4364
25,27,1.0
26,27,0.3988
26,28,0.3572
27,28,0.8316
28,29,0.7583
