Node1,Node2,Weight
0,19,0.4569
0,2,0.7359
0,18,0.4539
0,4,0.6433
0,11,0.6091
1,2,0.4697
1,19,1.0
1,12,0.7268
2,3,0.195
2,4,0.6373
3,5,0.4676
3,8,0.7705
3,9,0.4415
3,14,0.5771
4,6,0.701
4,13,0.7732
5,11,0.3599
5,14,0.5331
5,12,0.505
6,7,0.4693
6,11,0.9531
7,8,0.681
7,9,0.3478
8,9,0.7836
8,16,1.0
8,15,0.8065
9,11,0.2961
9,15,0.5032
10,11,0.8534
10,12,0.4585
11,13,0.6888
12,13,0.7549
12,14,0.4146
13,14,0.5881
13,15,0.0
15,16,0.3951
16,18,0.5495
17,18,0.3504
17,19,0.9265
18,19,0.314
