Node1,Node2,Weight
0,1,0.5461
0,39,0.7435
0,2,0.9005
0,38,0.6148
1,2,0.9257
1,39,0.324
1,6,0.2593
1,3,0.5889
1,5,0.6768
2,3,0.5935
2,4,0.1865
2,25,0.5822
3,5,0.3391
3,23,0.7339
3,13,0.6733
4,6,0.412
4,9,0.4972
4,22,0.3882
5,6,0.5875
5,7,0.791
5,13,0.4029
6,7,0.7008
6,8,0.4939
7,29,0.4414
7,21,0.5786
8,9,0.393
8,39,0.4893
9,11,0.3604
9,28,0.9929
10,11,0.6071
10,12,0.4601
11,13,0.6428
11,14,0.5775
11,37,0.5558
12,13,0.7228
12,36,0.7515
12,20,0.4939
13,14,0.4848
13,15,0.545
14,15,0.1396
14,19,0.297
14,39,0.8734
15,16,0.929
15,18,0.5502
16,17,0.7153
16,18,0.6623
17,18,1.0
17,19,0.8239
18,19,0.5744
18,20,0.4089
19,21,0.2787
20,21,0.6407
20,22,0.4487
21,22,0.3155
21,23,0.4707
22,24,0.3837
22,28,0.9374
23,25,0.7763
23,33,0.5984
24,25,0.896
24,26,0.6155
25,26,0.4277
26,27,0.9046
26,28,0.7078
27,28,0.3926
27,29,0.5619
28,29,0.4249
29,30,0.3234
29,31,0.7852
30,31,0.9819
30,32,0.3203
31,32,0.7126
31,33,0.4699
32,33,0.5026
32,34,0.4815
33,34,0.4272
33,35,0.6097
34,35,0.4338
34,36,0.6541
35,36,0.59
35,38,0.5522
36,38,0.4185
37,38,0.4846
38,39,0.7511
