Node1,Node2,Weight
0,1,0.614
0,29,0.5229
0,28,0.6227
0,3,0.7324
0,8,0.9172
1,2,0.3524
1,3,1.0
1,29,0.2096
2,3,0.5696
2,4,0.7177
2,18,0.6562
3,4,0.4755
3,5,0.5584
4,5,0.5014
4,6,0.4821
5,7,0.7699
5,24,0.6714
6,8,0.4614
6,14,0.7799
6,25,0.6615
7,8,0.7626
7,16,0.7259
8,22,0.4342
8,12,0.488
9,10,0.7495
9,11,0.7221
10,11,0.5958
10,12,0.6235
11,12,0.8555
11,13,0.4817
12,13,0.7094
13,14,0.5596
13,15,0.5565
14,15,0.8198
14,16,0.7651
15,16,0.7627
15,17,0.8611
16,17,0.6042
16,18,0.7364
17,18,0.5379
17,19,0.6648
18,19,0.574
19,20,0.6194
19,21,0.719
20,21,0.4364
20,22,1.0
21,22,0.3988
21,23,0.3572
22,23,0.8316
22,24,0.7583
23,24,0.7248
23,25,0.7257
24,25,0.5976
24,26,0.4205
25,27,0.6152
26,27,0.4646
26,28,0.795
27,28,0.5706
27,29,0.4349
28,29,0.5357
