Node1,Node2,Weight
0,1,0.512
0,29,0.6261
0,2,0.8883
0,28,0.3128
1,3,0.8326
1,19,0.602
1,2,0.4037
2,8,0.6924
3,4,0.6398
3,27,0.48
4,5,0.614
4,6,0.5229
4,13,0.6227
5,6,0.7324
5,7,0.9172
5,12,0.3524
5,10,1.0
6,7,0.2096
6,8,0.5696
7,9,0.7177
7,15,0.6562
8,9,0.4755
8,10,0.5584
8,21,0.5014
9,11,0.4821
9,28,0.7699
10,11,0.6714
11,12,0.4614
11,16,0.7799
12,14,0.6615
13,17,0.7626
14,15,0.7259
14,16,0.4342
14,17,0.488
15,16,0.7495
15,17,0.7221
16,17,0.5958
16,19,0.6235
17,18,0.8555
18,19,0.4817
18,20,0.7094
19,20,0.5596
19,21,0.5565
19,23,0.8198
20,21,0.7651
20,22,0.7627
21,23,0.8611
21,26,0.6042
22,23,0.7364
22,24,0.5379
23,25,0.6648
23,29,0.574
24,25,0.6194
24,26,0.719
25,26,0.4364
25,27,1.0
26,27,0.3988
27,28,0.3572
27,29,0.8316
28,29,0.7583
