Node1,Node2,Weight
0,1,0.6826
0,29,0.4873
0,28,0.4356
0,3,0.6487
0,8,0.649
1,2,0.4986
1,3,0.5058
1,29,0.6464
2,3,0.3104
2,4,0.3185
2,18,0.4563
3,4,0.5573
3,5,0.6622
4,5,0.8951
4,6,0.7715
5,7,0.568
5,24,0.5962
6,8,0.3995
6,14,0.5963
6,25,0.5423
6,7,0.6645
7,8,0.4346
7,16,0.7039
8,22,0.9065
8,12,0.5782
9,10,0.6803
9,11,0.738
10,11,0.5198
10,12,0.6448
11,12,0.6025
11,13,0.6195
12,13,0.4454
13,14,0.6049
13,15,0.6996
14,15,0.8902
14,16,0.7919
15,16,1.0
15,17,0.4465
16,17,0.7745
16,18,0.6367
17,18,1.0
17,19,0.4383
18,19,0.4321
19,20,0.4801
19,21,0.1752
20,21,0.4948
20,22,0.4482
21,22,0.6301
21,23,0.6684
22,23,0.9752
22,24,0.7901
23,24,0.4846
23,25,0.4203
24,25,0.6984
24,26,0.336
25,27,0.9663
26,27,0.8359
26,28,0.5062
27,28,0.2574
27,29,0.8708
28,29,0.5771
