Node1,Node2,Weight
0,1,0.6152
0,29,0.4646
0,2,0.795
0,20,0.5706
1,29,0.4349
1,8,0.5357
1,23,0.6826
2,7,0.4873
2,28,0.4356
2,3,0.6487
3,4,0.649
3,15,0.4986
3,18,0.5058
3,5,0.6464
4,5,0.3104
4,6,0.3185
4,28,0.4563
5,6,0.5573
5,7,0.6622
5,25,0.8951
5,15,0.7715
6,7,0.568
6,8,0.5962
7,8,0.3995
7,9,0.5963
7,12,0.5423
7,23,0.6645
8,9,0.4346
8,28,0.7039
9,10,0.9065
9,11,0.5782
9,12,0.6803
10,11,0.738
10,12,0.5198
10,25,0.6448
11,12,0.6025
11,13,0.6195
11,17,0.4454
13,14,0.6049
13,15,0.6996
13,18,0.8902
14,15,0.7919
14,16,1.0
14,19,0.4465
14,20,0.7745
15,16,0.6367
15,17,1.0
15,27,0.4383
15,18,0.4321
16,17,0.4801
16,18,0.1752
17,18,0.4948
18,20,0.4482
18,19,0.6301
19,21,0.6684
19,20,0.9752
20,21,0.7901
21,22,0.4846
21,23,0.4203
22,23,0.6984
22,29,0.336
23,25,0.9663
24,25,0.8359
24,26,0.5062
26,27,0.2574
26,28,0.8708
27,28,0.5771
28,29,0.8476
