Bin Range,Edge Count
0.2970 – 0.3322,2
0.3322 – 0.3673,1
0.3673 – 0.4025,2
0.4025 – 0.4376,4
0.4376 – 0.4728,1
0.4728 – 0.5079,1
0.5079 – 0.5431,2
0.5431 – 0.5782,2
0.5782 – 0.6134,2
0.6134 – 0.6485,4
0.6485 – 0.6837,2
0.6837 – 0.7188,7
0.7188 – 0.7540,4
0.7540 – 0.7891,1
0.7891 – 0.8243,3
0.8243 – 0.8594,1
0.8594 – 0.8946,0
0.8946 – 0.9297,0
0.9297 – 0.9649,0
0.9649 – 1.0000,1
