Bin Range,Edge Count
0.0000 – 0.0500,1
0.0500 – 0.1000,0
0.1000 – 0.1500,0
0.1500 – 0.2000,1
0.2000 – 0.2500,1
0.2500 – 0.3000,2
0.3000 – 0.3500,1
0.3500 – 0.4000,3
0.4000 – 0.4500,2
0.4500 – 0.5000,5
0.5000 – 0.5500,4
0.5500 – 0.6000,3
0.6000 – 0.6500,4
0.6500 – 0.7000,2
0.7000 – 0.7500,4
0.7500 – 0.8000,4
0.8000 – 0.8500,1
0.8500 – 0.9000,2
0.9000 – 0.9500,0
0.9500 – 1.0000,4
