Node1,Node2,Weight
0,19,1.0
0,2,0.2265
0,18,0.7373
0,14,0.2775
0,21,0.5056
0,22,0.8178
1,2,0.6129
1,7,0.3845
2,3,0.4569
2,7,0.7359
2,11,0.4539
3,4,0.6433
3,5,0.6091
3,20,0.4697
3,21,1.0
4,5,0.7268
4,6,0.195
4,12,0.6373
5,6,0.4676
5,7,0.7705
5,9,0.4415
5,19,0.5771
6,7,0.701
6,8,0.7732
6,11,0.3599
6,16,0.5331
7,8,0.505
7,9,0.4693
7,18,0.9531
8,9,0.681
8,10,0.3478
9,11,0.7836
10,11,1.0
10,12,0.8065
10,13,0.2961
12,14,0.5032
13,18,0.8534
14,16,0.4585
14,17,0.6888
15,16,0.7549
15,17,0.4146
16,17,0.5881
17,18,0.0
17,19,0.3951
