Node1,Node2,Weight
0,1,0.614
0,29,0.5229
0,2,0.6227
0,7,0.7324
1,2,0.9172
1,3,0.3524
1,29,1.0
1,19,0.2096
2,4,0.5696
2,22,0.7177
3,5,0.6562
3,12,0.4755
3,8,0.5584
3,28,0.5014
4,5,0.4821
4,6,0.7699
5,6,0.6714
5,7,0.4614
6,7,0.7799
6,8,0.6615
7,8,0.7626
8,9,0.7259
8,15,0.4342
9,10,0.488
9,11,0.7495
10,11,0.7221
10,18,0.5958
11,12,0.6235
11,25,0.8555
12,13,0.4817
12,14,0.7094
12,26,0.5596
13,14,0.5565
13,15,0.8198
13,26,0.7651
14,16,0.7627
14,21,0.8611
15,17,0.6042
16,17,0.7364
16,18,0.5379
17,18,0.6648
17,20,0.574
18,19,0.6194
18,20,0.719
19,21,0.4364
20,21,1.0
20,22,0.3988
21,22,0.3572
21,23,0.8316
22,23,0.7583
22,24,0.7248
23,24,0.7257
23,25,0.5976
24,25,0.4205
24,26,0.6152
24,27,0.4646
25,26,0.795
25,27,0.5706
27,29,0.4349
28,29,0.5357
