Bin Range,Edge Count
0.2096 – 0.2491,1
0.2491 – 0.2886,0
0.2886 – 0.3281,0
0.3281 – 0.3677,2
0.3677 – 0.4072,2
0.4072 – 0.4467,3
0.4467 – 0.4862,5
0.4862 – 0.5257,3
0.5257 – 0.5653,4
0.5653 – 0.6048,6
0.6048 – 0.6443,5
0.6443 – 0.6838,4
0.6838 – 0.7234,5
0.7234 – 0.7629,9
0.7629 – 0.8024,3
0.8024 – 0.8419,3
0.8419 – 0.8814,2
0.8814 – 0.9210,1
0.9210 – 0.9605,0
0.9605 – 1.0000,2
